Year for projected temperature datas,SSP1-1.9 Central,SSP1-2.6 Central,SSP2-4.5 Central,SSP3-7.0 Central,SSP5-8.5 Central
2015,1.098806697,1.099247547,1.10322925,1.094355372,1.110087613
2016,1.123233684,1.124936489,1.126901764,1.117928984,1.136829795
2017,1.148855749,1.151127281,1.151919167,1.143450954,1.166138801
2018,1.17520481,1.176866572,1.177257279,1.169831477,1.195275185
2019,1.200603567,1.202266409,1.202910643,1.194815689,1.223857844
2020,1.225472443,1.228768373,1.229934511,1.220170947,1.25372695
2021,1.251715813,1.254123596,1.255799225,1.246637159,1.283470132
2022,1.276959015,1.278778937,1.28132557,1.272722975,1.315981986
2023,1.300042351,1.30178068,1.306667293,1.298628835,1.346799974
2024,1.321454671,1.325222232,1.332846258,1.323940762,1.376803342
2025,1.343829074,1.350618531,1.357636732,1.349195876,1.409638531
2026,1.366752732,1.372619163,1.381202411,1.375721086,1.441877806
2027,1.388259638,1.395754585,1.405550503,1.40325435,1.475212514
2028,1.407256662,1.417280592,1.432808941,1.432134839,1.509049321
2029,1.426049766,1.439774724,1.458037594,1.460234515,1.543635754
2030,1.443502648,1.460753546,1.482942756,1.488259292,1.576928656
2031,1.45908255,1.48046995,1.506218011,1.517410639,1.610439138
2032,1.474052992,1.499200188,1.529446014,1.546276025,1.644262338
2033,1.487861154,1.517611007,1.551432291,1.57446024,1.677874345
2034,1.499359368,1.534261347,1.572800123,1.601990582,1.712720129
2035,1.51006706,1.549817928,1.594112393,1.629818762,1.74763477
2036,1.52004617,1.56524088,1.617129302,1.659600945,1.783015571
2037,1.528241087,1.579491812,1.640932093,1.690527409,1.8177852
2038,1.535336004,1.594629592,1.665194436,1.720359928,1.853785112
2039,1.54306938,1.609538329,1.689145255,1.74949416,1.892334385
2040,1.549635039,1.622439625,1.712334759,1.781320366,1.932941125
2041,1.55412145,1.635165952,1.736928986,1.815078355,1.973450266
2042,1.558734535,1.647946033,1.761675215,1.847174852,2.011311167
2043,1.562800424,1.660422854,1.786704846,1.876230382,2.052008843
2044,1.566356881,1.669689911,1.809090932,1.907567189,2.094221047
2045,1.568121079,1.679842347,1.830748445,1.940398884,2.135517351
2046,1.567168399,1.690823895,1.854509375,1.973963077,2.177517119
2047,1.567000396,1.700404272,1.879956886,2.006339542,2.21934435
2048,1.566768572,1.708019939,1.901738633,2.037212553,2.260737596
2049,1.566172001,1.716008714,1.922370183,2.066088305,2.304063948
2050,1.565447871,1.723816299,1.945773953,2.100658252,2.348434423
2051,1.564642917,1.732702155,1.973295137,2.133239502,2.392893215
2052,1.562828892,1.740365356,1.994489481,2.166502308,2.438887476
2053,1.561234665,1.747410789,2.017039307,2.200312819,2.486342319
2054,1.559963113,1.754036512,2.038640485,2.234904158,2.531059711
2055,1.557207222,1.760044209,2.061187219,2.268249558,2.573277659
2056,1.553330979,1.765643665,2.083904415,2.3003807,2.619445982
2057,1.54982954,1.770448395,2.104357818,2.333724096,2.668121188
2058,1.547309302,1.774362385,2.124835499,2.368426761,2.712618401
2059,1.543649204,1.778051519,2.14550685,2.403768093,2.757157671
2060,1.540005436,1.782696197,2.165121683,2.438560719,2.796679823
2061,1.53662847,1.78585273,2.186229471,2.473101372,2.844935016
2062,1.533170728,1.787993181,2.205377039,2.510043872,2.893293154
2063,1.529034933,1.791742064,2.225378859,2.546709029,2.942002221
2064,1.524952988,1.794761577,2.245274117,2.58408702,2.989032509
2065,1.520569432,1.797476505,2.26340709,2.62183267,3.036282075
2066,1.517917251,1.798835813,2.28125641,2.658745784,3.08611574
2067,1.514436812,1.798589211,2.298366149,2.695752566,3.134536202
2068,1.510551237,1.799042173,2.316237794,2.729997831,3.18064827
2069,1.506502879,1.801170645,2.333860647,2.764676095,3.229456906
2070,1.502784565,1.800509257,2.349677232,2.799205476,3.279564756
2071,1.499301826,1.800176143,2.365764147,2.837206249,3.329393298
2072,1.49557313,1.800643782,2.385652582,2.875600342,3.376201434
2073,1.492243106,1.799682314,2.400872441,2.912321573,3.426389033
2074,1.489024857,1.799241901,2.420856025,2.950057146,3.478239948
2075,1.486705666,1.798608142,2.436986628,2.987484987,3.528473273
2076,1.483224809,1.797969429,2.44928257,3.028042487,3.578517491
2077,1.479470223,1.796334256,2.469227025,3.065965237,3.62956571
2078,1.474762246,1.793544319,2.484956601,3.102424883,3.679307267
2079,1.469025303,1.792229004,2.498688922,3.140936604,3.733668902
2080,1.463558932,1.788891938,2.512986406,3.181039699,3.784346387
2081,1.459295511,1.786833311,2.527228874,3.218318401,3.833343571
2082,1.455213334,1.783811909,2.542410978,3.254365012,3.885569436
2083,1.451042728,1.780553457,2.557049642,3.29317655,3.939075944
2084,1.44657267,1.777842173,2.571728182,3.332336794,3.990479073
2085,1.443611109,1.774576942,2.586203367,3.371378585,4.042170397
2086,1.439094809,1.772189482,2.600524191,3.40911871,4.093118878
2087,1.434457525,1.769013637,2.614442537,3.448358067,4.145186055
2088,1.429551556,1.764498228,2.627413769,3.489697214,4.197856046
2089,1.42389761,1.760809845,2.638886883,3.529516524,4.249289921
2090,1.417880784,1.758729909,2.65009197,3.567628711,4.300077477
2091,1.414310347,1.75431596,2.664827267,3.606357659,4.35062671
2092,1.410984269,1.749871218,2.675315457,3.645376137,4.401697899
2093,1.407192649,1.746275025,2.686949806,3.684243773,4.450658071
2094,1.40334356,1.742477455,2.698345707,3.721228859,4.49915057
2095,1.39959568,1.738994,2.709810212,3.758451683,4.548681042
2096,1.395931947,1.734824558,2.721366589,3.796472137,4.596716455
2097,1.392230646,1.731581064,2.730280537,3.835123649,4.644480698
2098,1.38840286,1.727422952,2.739833945,3.87238348,4.689657502
2099,1.384914343,1.723633029,2.748133705,3.908723065,4.734679405
